Timestamp,Autorizador,Autorizacao4,Status Serviço
2024-08-31 13:03:27.124631,AM,2,2
2024-08-31 13:03:27.124631,BA,2,2
2024-08-31 13:03:27.124631,GO,2,2
2024-08-31 13:03:27.124631,MG,2,2
2024-08-31 13:03:27.124631,MS,2,2
2024-08-31 13:03:27.124631,MT,2,2
2024-08-31 13:03:27.124631,PE,2,2
2024-08-31 13:03:27.124631,PR,2,2
2024-08-31 13:03:27.124631,RS,2,2
2024-08-31 13:03:27.124631,SP,2,2
2024-08-31 13:03:27.124631,SVAN,2,2
2024-08-31 13:03:27.124631,SVRS,2,2
2024-08-31 13:03:27.124631,SVC-AN,2,2
2024-08-31 13:03:27.124631,SVC-RS,2,2
2024-08-31 13:33:28.201451,AM,2,2
2024-08-31 13:33:28.201451,BA,2,2
2024-08-31 13:33:28.201451,GO,2,2
2024-08-31 13:33:28.201451,MG,2,2
2024-08-31 13:33:28.201451,MS,2,2
2024-08-31 13:33:28.201451,MT,2,2
2024-08-31 13:33:28.201451,PE,2,2
2024-08-31 13:33:28.201451,PR,2,2
2024-08-31 13:33:28.201451,RS,2,2
2024-08-31 13:33:28.201451,SP,2,2
2024-08-31 13:33:28.201451,SVAN,2,2
2024-08-31 13:33:28.201451,SVRS,2,2
2024-08-31 13:33:28.201451,SVC-AN,2,2
2024-08-31 13:33:28.201451,SVC-RS,2,2
2024-08-31 14:03:29.263515,AM,2,2
2024-08-31 14:03:29.263515,BA,2,2
2024-08-31 14:03:29.263515,GO,2,2
2024-08-31 14:03:29.263515,MG,2,2
2024-08-31 14:03:29.263515,MS,2,2
2024-08-31 14:03:29.263515,MT,2,2
2024-08-31 14:03:29.263515,PE,2,2
2024-08-31 14:03:29.263515,PR,2,2
2024-08-31 14:03:29.263515,RS,2,2
2024-08-31 14:03:29.263515,SP,2,2
2024-08-31 14:03:29.263515,SVAN,2,2
2024-08-31 14:03:29.263515,SVRS,2,2
2024-08-31 14:03:29.263515,SVC-AN,2,2
2024-08-31 14:03:29.263515,SVC-RS,2,2
2024-08-31 14:33:30.358802,AM,2,2
2024-08-31 14:33:30.358802,BA,2,2
2024-08-31 14:33:30.358802,GO,2,2
2024-08-31 14:33:30.358802,MG,2,2
2024-08-31 14:33:30.358802,MS,2,2
2024-08-31 14:33:30.358802,MT,2,2
2024-08-31 14:33:30.358802,PE,2,2
2024-08-31 14:33:30.358802,PR,2,2
2024-08-31 14:33:30.358802,RS,2,2
2024-08-31 14:33:30.358802,SP,2,2
2024-08-31 14:33:30.358802,SVAN,2,2
2024-08-31 14:33:30.358802,SVRS,2,2
2024-08-31 14:33:30.358802,SVC-AN,2,2
2024-08-31 14:33:30.358802,SVC-RS,2,2
2024-08-31 15:03:31.474115,AM,2,2
2024-08-31 15:03:31.474115,BA,2,2
2024-08-31 15:03:31.474115,GO,2,2
2024-08-31 15:03:31.474115,MG,2,2
2024-08-31 15:03:31.474115,MS,2,2
2024-08-31 15:03:31.474115,MT,2,2
2024-08-31 15:03:31.474115,PE,2,2
2024-08-31 15:03:31.474115,PR,2,2
2024-08-31 15:03:31.474115,RS,2,2
2024-08-31 15:03:31.474115,SP,2,2
2024-08-31 15:03:31.474115,SVAN,2,2
2024-08-31 15:03:31.474115,SVRS,2,2
2024-08-31 15:03:31.474115,SVC-AN,2,2
2024-08-31 15:03:31.474115,SVC-RS,2,2
2024-08-31 15:33:32.612435,AM,2,2
2024-08-31 15:33:32.612435,BA,2,2
2024-08-31 15:33:32.612435,GO,2,2
2024-08-31 15:33:32.612435,MG,2,2
2024-08-31 15:33:32.612435,MS,2,2
2024-08-31 15:33:32.612435,MT,2,2
2024-08-31 15:33:32.612435,PE,2,2
2024-08-31 15:33:32.612435,PR,2,2
2024-08-31 15:33:32.612435,RS,2,2
2024-08-31 15:33:32.612435,SP,2,2
2024-08-31 15:33:32.612435,SVAN,2,2
2024-08-31 15:33:32.612435,SVRS,2,2
2024-08-31 15:33:32.612435,SVC-AN,2,2
2024-08-31 15:33:32.612435,SVC-RS,2,2
2024-08-31 16:03:33.716227,AM,2,2
2024-08-31 16:03:33.716227,BA,2,2
2024-08-31 16:03:33.716227,GO,2,2
2024-08-31 16:03:33.716227,MG,2,2
2024-08-31 16:03:33.716227,MS,2,2
2024-08-31 16:03:33.716227,MT,2,2
2024-08-31 16:03:33.716227,PE,2,2
2024-08-31 16:03:33.716227,PR,2,2
2024-08-31 16:03:33.716227,RS,2,2
2024-08-31 16:03:33.716227,SP,2,2
2024-08-31 16:03:33.716227,SVAN,2,2
2024-08-31 16:03:33.716227,SVRS,2,2
2024-08-31 16:03:33.716227,SVC-AN,2,2
2024-08-31 16:03:33.716227,SVC-RS,2,2
2024-08-31 16:33:34.847480,AM,2,2
2024-08-31 16:33:34.847480,BA,2,2
2024-08-31 16:33:34.847480,GO,2,2
2024-08-31 16:33:34.847480,MG,2,2
2024-08-31 16:33:34.847480,MS,2,2
2024-08-31 16:33:34.847480,MT,2,2
2024-08-31 16:33:34.847480,PE,2,2
2024-08-31 16:33:34.847480,PR,2,2
2024-08-31 16:33:34.863097,RS,2,2
2024-08-31 16:33:34.863097,SP,2,2
2024-08-31 16:33:34.863097,SVAN,2,2
2024-08-31 16:33:34.863097,SVRS,2,2
2024-08-31 16:33:34.863097,SVC-AN,2,2
2024-08-31 16:33:34.863097,SVC-RS,2,2
2024-08-31 17:03:35.963255,AM,2,2
2024-08-31 17:03:35.963255,BA,2,2
2024-08-31 17:03:35.963255,GO,2,2
2024-08-31 17:03:35.963255,MG,2,2
2024-08-31 17:03:35.963255,MS,2,2
2024-08-31 17:03:35.963255,MT,2,2
2024-08-31 17:03:35.963255,PE,2,2
2024-08-31 17:03:35.963255,PR,2,2
2024-08-31 17:03:35.963255,RS,2,2
2024-08-31 17:03:35.963255,SP,2,2
2024-08-31 17:03:35.963255,SVAN,2,2
2024-08-31 17:03:35.963255,SVRS,2,2
2024-08-31 17:03:35.963255,SVC-AN,2,2
2024-08-31 17:03:35.964252,SVC-RS,2,2
2024-08-31 17:33:37.060174,AM,2,2
2024-08-31 17:33:37.060174,BA,2,2
2024-08-31 17:33:37.060174,GO,2,2
2024-08-31 17:33:37.060174,MG,2,2
2024-08-31 17:33:37.060174,MS,2,2
2024-08-31 17:33:37.060174,MT,2,2
2024-08-31 17:33:37.060174,PE,2,2
2024-08-31 17:33:37.060174,PR,2,2
2024-08-31 17:33:37.060174,RS,2,2
2024-08-31 17:33:37.060174,SP,2,2
2024-08-31 17:33:37.060174,SVAN,2,2
2024-08-31 17:33:37.060174,SVRS,2,2
2024-08-31 17:33:37.060174,SVC-AN,2,2
2024-08-31 17:33:37.060708,SVC-RS,2,2
2024-08-31 18:03:38.146931,AM,2,2
2024-08-31 18:03:38.146931,BA,2,2
2024-08-31 18:03:38.146931,GO,2,2
2024-08-31 18:03:38.146931,MG,2,2
2024-08-31 18:03:38.146931,MS,2,2
2024-08-31 18:03:38.146931,MT,2,2
2024-08-31 18:03:38.146931,PE,2,2
2024-08-31 18:03:38.146931,PR,2,2
2024-08-31 18:03:38.146931,RS,2,2
2024-08-31 18:03:38.146931,SP,2,2
2024-08-31 18:03:38.146931,SVAN,2,2
2024-08-31 18:03:38.146931,SVRS,2,2
2024-08-31 18:03:38.146931,SVC-AN,2,2
2024-08-31 18:03:38.146931,SVC-RS,2,2
2024-08-31 18:33:39.240898,AM,2,2
2024-08-31 18:33:39.240898,BA,2,2
2024-08-31 18:33:39.240898,GO,2,2
2024-08-31 18:33:39.240898,MG,2,2
2024-08-31 18:33:39.240898,MS,2,2
2024-08-31 18:33:39.240898,MT,2,2
2024-08-31 18:33:39.240898,PE,2,2
2024-08-31 18:33:39.240898,PR,2,2
2024-08-31 18:33:39.240898,RS,2,2
2024-08-31 18:33:39.240898,SP,2,2
2024-08-31 18:33:39.240898,SVAN,2,2
2024-08-31 18:33:39.240898,SVRS,2,2
2024-08-31 18:33:39.240898,SVC-AN,2,2
2024-08-31 18:33:39.240898,SVC-RS,2,2
2024-08-31 19:03:40.300228,AM,2,2
2024-08-31 19:03:40.300228,BA,2,2
2024-08-31 19:03:40.300228,GO,2,2
2024-08-31 19:03:40.300228,MG,2,2
2024-08-31 19:03:40.300228,MS,2,2
2024-08-31 19:03:40.300228,MT,2,2
2024-08-31 19:03:40.300228,PE,2,2
2024-08-31 19:03:40.300228,PR,2,2
2024-08-31 19:03:40.300228,RS,2,2
2024-08-31 19:03:40.300228,SP,2,2
2024-08-31 19:03:40.300228,SVAN,2,2
2024-08-31 19:03:40.300228,SVRS,2,2
2024-08-31 19:03:40.300228,SVC-AN,2,2
2024-08-31 19:03:40.300228,SVC-RS,2,2
2024-08-31 19:33:41.456248,AM,2,2
2024-08-31 19:33:41.456248,BA,2,2
2024-08-31 19:33:41.456248,GO,2,2
2024-08-31 19:33:41.456248,MG,2,2
2024-08-31 19:33:41.456248,MS,2,2
2024-08-31 19:33:41.456248,MT,2,2
2024-08-31 19:33:41.456248,PE,2,2
2024-08-31 19:33:41.456248,PR,2,2
2024-08-31 19:33:41.456248,RS,2,2
2024-08-31 19:33:41.456248,SP,2,2
2024-08-31 19:33:41.456248,SVAN,2,2
2024-08-31 19:33:41.456248,SVRS,2,2
2024-08-31 19:33:41.456248,SVC-AN,2,2
2024-08-31 19:33:41.456248,SVC-RS,2,2
2024-08-31 20:03:42.562837,AM,2,2
2024-08-31 20:03:42.562837,BA,2,2
2024-08-31 20:03:42.562837,GO,2,2
2024-08-31 20:03:42.562837,MG,2,2
2024-08-31 20:03:42.562837,MS,2,2
2024-08-31 20:03:42.562837,MT,2,2
2024-08-31 20:03:42.562837,PE,2,2
2024-08-31 20:03:42.562837,PR,2,2
2024-08-31 20:03:42.562837,RS,2,2
2024-08-31 20:03:42.562837,SP,2,2
2024-08-31 20:03:42.562837,SVAN,2,2
2024-08-31 20:03:42.562837,SVRS,2,2
2024-08-31 20:03:42.562837,SVC-AN,2,2
2024-08-31 20:03:42.562837,SVC-RS,2,2
